date,level,AQI,AQIarrange,PM25,PM10,So2,No2,Co,O3
2021-04-22,良,61,297,44,56,10,26,0.81,85
2021-04-23,良,79,344,58,84,8,27,0.83,90
2021-04-24,优,42,163,28,42,6,17,0.63,103
2021-04-25,优,46,226,31,42,7,19,0.70,94
2021-04-26,良,69,305,44,77,9,28,0.63,58
2021-04-27,良,75,258,31,100,6,19,0.40,96
2021-04-28,良,60,220,22,70,7,24,0.45,83
2021-04-29,良,90,321,42,130,7,27,0.47,79
2021-04-30,良,60,217,25,69,11,39,0.64,57
2021-05-01,良,57,212,27,65,14,36,0.73,68
2021-05-02,优,49,175,22,53,14,27,0.66,75
2021-05-03,良,56,250,36,56,9,24,0.80,107
2021-05-04,良,90,332,37,129,7,24,0.43,80
2021-05-05,良,52,133,20,56,11,27,0.49,84
2021-05-06,轻度污染,134,327,53,195,8,17,0.47,97
2021-05-07,严重污染,325,346,161,508,5,13,0.43,81
2021-05-08,轻度污染,109,270,64,168,13,21,0.64,103
2021-05-09,良,84,313,43,119,17,31,0.78,112
2021-05-10,良,63,276,31,75,12,23,0.69,124
2021-05-11,良,65,325,35,80,17,39,0.83,105
2021-05-12,良,84,344,58,106,15,39,0.98,111
2021-05-13,良,99,354,74,117,13,30,0.98,128
2021-05-14,轻度污染,101,355,75,122,8,22,1.05,120
2021-05-15,优,43,310,28,42,5,19,0.96,60
2021-05-16,优,28,173,9,16,6,18,0.44,82
2021-05-17,良,54,352,33,48,16,36,0.69,76
2021-05-18,良,57,298,29,50,22,47,0.72,92
2021-05-19,良,56,259,30,55,21,49,0.77,95
2021-05-20,优,50,242,33,49,16,41,0.77,80
2021-05-21,良,59,271,36,57,16,38,0.76,90
2021-05-22,良,75,307,38,69,22,42,1.01,115
2021-05-23,良,62,275,29,81,7,21,0.42,92
2021-05-24,良,74,289,32,97,13,32,0.43,75
2021-05-25,良,51,192,21,54,10,22,0.43,95
2021-05-26,良,53,268,23,60,10,26,0.60,87
2021-05-27,良,64,302,27,78,13,32,0.56,77
2021-05-28,良,81,342,40,114,7,22,0.46,95
2021-05-29,良,64,301,27,78,13,25,0.74,116
2021-05-30,良,62,286,25,57,19,21,0.77,134
2021-05-31,良,61,262,33,73,25,44,0.97,75
2021-06-01,良,82,351,57,95,15,32,1.19,96
2021-06-02,良,74,323,44,89,12,24,0.89,111
2021-06-03,优,45,276,18,47,9,29,0.48,68
2021-06-04,优,46,253,15,47,12,33,0.55,81
2021-06-05,优,50,240,18,48,13,43,0.60,68
2021-06-06,良,73,271,26,58,26,42,0.76,125
2021-06-07,良,69,279,33,70,20,31,0.97,151
2021-06-08,良,77,339,51,89,16,31,1.21,118
2021-06-09,良,73,336,53,71,9,39,1.29,67
2021-06-10,优,37,186,14,22,7,18,0.81,103
2021-06-11,优,46,219,17,39,12,42,0.64,74
2021-06-12,良,72,319,36,69,18,52,1.08,96
2021-06-13,良,79,350,57,85,13,36,1.41,97
2021-06-14,良,75,364,55,79,11,25,1.34,86
2021-06-15,良,60,353,41,64,9,24,1.17,83
2021-06-16,良,57,361,35,65,9,20,0.88,101
2021-06-17,优,33,248,17,28,7,25,0.66,72
2021-06-18,良,52,336,30,50,11,33,0.79,69
2021-06-19,良,54,305,19,45,15,42,0.66,91
2021-06-20,良,53,293,21,49,17,49,0.74,75
2021-06-21,优,49,239,19,45,19,42,0.64,74
2021-06-22,良,76,316,26,55,13,27,0.76,145
2021-06-23,良,65,304,35,68,15,33,0.94,122
2021-06-24,良,74,342,40,60,10,25,0.93,137
2021-06-25,良,81,359,53,81,11,28,1.01,115
2021-06-26,良,74,353,38,68,18,33,0.98,136
2021-06-27,轻度污染,102,366,63,93,8,15,1.05,184
2021-06-28,良,85,357,51,76,11,27,1.03,139
2021-06-29,良,51,287,28,39,9,19,0.84,130
2021-06-30,良,66,348,44,65,10,28,1.13,111
2021-07-01,优,50,335,26,47,8,14,0.74,119
2021-07-02,优,45,313,28,44,11,20,0.82,102
2021-07-03,优,41,294,23,35,8,19,0.71,112
2021-07-04,良,76,358,38,60,12,25,0.86,142
2021-07-05,良,81,366,48,78,13,29,1.20,143
2021-07-06,良,67,351,39,64,9,18,0.92,140
2021-07-07,良,55,315,35,55,12,28,0.91,99
2021-07-08,良,58,324,26,43,13,33,0.89,105
2021-07-09,良,70,348,34,62,17,45,1.00,113
2021-07-10,良,82,360,49,77,15,42,1.24,116
2021-07-11,良,52,329,36,59,16,34,1.16,49
2021-07-12,优,23,59,10,17,6,18,0.65,60
2021-07-13,优,46,303,19,33,9,27,0.76,106
2021-07-14,良,67,359,33,56,13,29,0.88,122
2021-07-15,良,73,359,49,74,10,14,0.99,133
2021-07-16,良,53,349,35,52,13,13,0.95,123
2021-07-17,优,41,297,26,37,10,13,0.92,97
2021-07-18,优,26,112,16,21,8,14,0.77,71
2021-07-19,优,30,167,19,27,11,16,0.85,72
2021-07-20,优,45,337,31,44,10,18,0.90,81
2021-07-21,优,26,121,15,19,7,15,0.78,69
2021-07-22,优,20,38,11,14,8,14,0.70,54
2021-07-23,优,38,271,25,35,13,17,0.78,67
2021-07-24,良,51,329,33,49,10,19,1.13,83
2021-07-25,良,51,330,32,47,12,20,1.17,87
2021-07-26,优,49,316,30,49,10,28,0.98,74
2021-07-27,良,52,337,32,54,15,30,1.11,77
2021-07-28,优,29,166,19,27,7,13,0.61,82
2021-07-29,优,24,88,13,20,7,16,0.67,62
2021-07-30,优,43,254,21,39,11,25,0.83,82
2021-07-31,良,74,349,34,61,15,31,1.07,123
2021-08-01,良,51,276,30,50,10,26,0.88,83
2021-08-02,优,48,254,18,44,11,31,0.83,87
2021-08-03,良,51,292,30,52,16,22,0.94,101
2021-08-04,良,55,319,32,53,12,26,0.92,93
2021-08-05,良,62,353,29,62,17,41,0.99,92
2021-08-06,良,66,342,41,70,15,21,1.11,119
2021-08-07,良,73,346,52,83,26,24,1.22,122
2021-08-08,良,65,340,46,70,24,36,1.21,87
2021-08-09,优,48,233,28,38,9,27,0.89,94
2021-08-10,良,63,342,38,64,14,35,1.16,98
2021-08-11,良,68,356,48,74,20,34,1.33,86
2021-08-12,优,49,302,33,47,16,29,0.95,85
2021-08-13,良,61,350,40,62,20,26,1.07,96
2021-08-14,良,64,349,44,67,20,27,1.09,95
2021-08-15,良,71,356,51,75,26,20,1.19,116
2021-08-16,良,93,361,66,93,22,24,1.24,125
2021-08-17,良,93,362,69,104,24,24,1.48,105
2021-08-18,良,69,353,49,72,19,17,1.11,109
2021-08-19,优,42,244,28,40,10,21,1.10,63
